file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230825T110038.000000Z_01	2023-08-25 11:00:38.443762	2023-08-25 11:09:58.963762	6026.74	0.7218132040916413	9.343969351644528	-0.0017121345297153717	0.001888055973853698	0.8066532269687171	9.361444244299229	-0.0003222192133771126	0.001990101473143536	1025.838366326552	157.17480476624303	612.7959564417806
C_20230825T112014.000000Z_01	2023-08-25 11:20:36.445888	2023-08-25 11:29:56.965888	15.98	nan	nan	nan	nan	nan	nan	nan	nan	17617.447692142854	169488.22066637312	1220306.4121135043
C_20230825T112014.000000Z_02	2023-08-25 11:35:14.447445	2023-08-25 11:36:43.967445	133.94	nan	nan	nan	nan	nan	nan	nan	nan	11189.160862483886	67782.866068122	492881.83382623654
C_20230825T113818.000000Z_01	2023-08-25 11:38:18.447773	2023-08-25 11:47:38.967773	30.13	nan	nan	nan	nan	nan	nan	nan	nan	392.5558783013689	345.556809438599	610.9588346865847
C_20230825T113818.000000Z_02	2023-08-25 11:52:56.449330	2023-08-25 11:54:25.969330	12653.76	nan	nan	nan	nan	nan	nan	nan	nan	5781.234968498973	1203.7710656014963	194.4931868457909
C_20230825T115600.000000Z_01	2023-08-25 11:56:00.449657	2023-08-25 12:05:20.969657	384.26	0.24704857583709997	0.9952523867852081	0.00048639560460433674	-0.0011547288236492903	0.231216121531783	0.9827489451819246	0.0006737176427924868	-0.0009799592207019561	135.6250651499923	66.2666802665909	223.26065192463858
C_20230825T121342.000000Z_01	2023-08-25 12:13:42.451542	2023-08-25 12:23:02.971542	1260.86	0.7134789472173985	0.8405706320427335	-0.0011789799489511155	0.0005843457244572203	nan	nan	nan	nan	90.72739235472349	82.49879850204424	575.4536715835759
C_20230825T123318.000000Z_01	2023-08-25 12:33:40.453668	2023-08-25 12:43:00.973668	2.7	0.07345085076988248	0.197703470814575	6.063595200233499e-05	9.233773368020209e-05	0.048765434734117374	0.20538203737177177	1.7256242388599598e-05	0.0001437433234428745	11.732987583171637	4.510877350124311	250.9912275626739
C_20230825T123318.000000Z_02	2023-08-25 12:48:18.455225	2023-08-25 12:49:47.975225	2.6	0.08040206678781815	0.2370693714400953	0.0026437483136198666	0.003841287924279852	0.05239098055714937	0.23710576193705032	0.0002725879522823719	0.0043538307609899815	16.942271051260185	8.321307743843231	153.09104285663616
C_20230825T125122.000000Z_01	2023-08-25 12:51:22.455552	2023-08-25 13:00:42.975552	1106.61	1.338902882273196	0.9298524423950126	0.0016930155214123362	0.00039630598382817676	1.325339086886671	0.9243619226186153	0.0017544789300321729	0.0004041342797266453	125.39058226549173	98.21670745424747	218.74592143942232
